evidence_id	species	assembly	accession_or_source	data_type	organism_or_sample	role	independence_status	planned_use	limitations	source_url
CHICKEN_ISOSEQ_M	chicken	GCA_000002315.5/galGal6	PRJNA670545; SRR13084015; SRX9530712; SAMN16512680	PacBio Sequel II full-length RNA	male embryo/gonad, multiple developmental stages	H_transcript_full/H_splice	independent public study, exact assembly reported	developmental host transcript support	Tissue-restricted; no expressed transcript is a genome-wide negative; verify strain/sample metadata before analysis	https://www.ncbi.nlm.nih.gov/bioproject/670545
CHICKEN_ISOSEQ_F	chicken	GCA_000002315.5/galGal6	PRJNA670545; SRR13084014; SRX9530713; SAMN16512697	PacBio Sequel II full-length RNA	female embryo/gonad, multiple developmental stages	H_transcript_full/H_splice	independent public study, exact assembly reported	developmental host transcript support	Tissue-restricted; no expressed transcript is a genome-wide negative; verify strain/sample metadata before analysis	https://pmc.ncbi.nlm.nih.gov/articles/PMC11515837/
CHICKEN_MULTI_RNA	chicken	GCA_000002315.5/galGal6	PRJNA699861/GSE166257	Illumina short-read RNA	10 cell/tissue types, two replicates	H_splice	independent public study	junction/expression support	Does not establish full CDS endpoints; ~262 Gb study-level volume; remapping protocol required	https://www.ncbi.nlm.nih.gov/bioproject/699861
ZEBRAFISH_ISOSEQ_21STAGE	zebrafish	GCA_000002035.4/GRCz11	PRJNA973729	PacBio Sequel full-length RNA	AB strain, 21 embryonic stages	H_transcript_full/H_splice	independent public study, GRCz11 mapping reported	embryonic host transcript support	Embryo restricted; full-length transcript does not establish CDS start/stop/frame; no expressed transcript is a genome-wide negative	https://www.ncbi.nlm.nih.gov/bioproject/973729
ZEBRAFISH_ISOSEQ_1CELL	zebrafish	GCA_000002035.4/GRCz11	SRR24682235	PacBio Sequel FL-cDNA	1-cell embryo	H_transcript_full/H_splice	independent public run	small pilot stage	~2.28 Gb bases; embryo restricted; no independent CDS rule yet	https://www.ncbi.nlm.nih.gov/sra/SRR24682235
ZEBRAFISH_ISOSEQ_128CELL	zebrafish	GCA_000002035.4/GRCz11	SRR24682222	PacBio Sequel FL-cDNA	128-cell embryo	H_transcript_full/H_splice	independent public run	small pilot stage	~2.36 Gb bases; embryo restricted; no independent CDS rule yet	https://www.ncbi.nlm.nih.gov/sra/SRR24682222
ZEBRAFISH_ISOSEQ_SOMITE	zebrafish	GCA_000002035.4/GRCz11	SRR24682234; SRR24682233; SRR24682231	PacBio Sequel FL-cDNA	1-4, 14-19, 20-25 somites	H_transcript_full/H_splice	independent public runs	stage-balanced pilot	~2.20, 2.51, 2.08 Gb bases; embryo restricted; no independent CDS rule yet	https://pmc.ncbi.nlm.nih.gov/articles/PMC12139336/
ZEBRAFISH_REMAP_CANDIDATE	zebrafish	published GRCz9; remap to GCA_000002035.4/GRCz11	PRJNA899844; SRR22245994-96; SRR22245998	PacBio RNA plus matched Illumina	liver, brain, muscle, larvae	H_transcript_full/H_splice candidate	raw reads independent; published processed files not independent current-assembly truth	adult/tissue extension after remapping	Published GTF/translated FASTA use GRCz9; do not import as GRCz11 truth	https://www.ncbi.nlm.nih.gov/bioproject/899844
PLATYPUS_RNA	platypus	GCF_004115215.2/mOrnAna1.pri.v4	PRJNA929280; SRR23268362; SRR23268361	Illumina short-read RNA	adult male/female fibroblast	H_splice	independent public study relative to 2021 annotation	current local splice evidence	One tissue/cell type; no full CDS truth; no RNA is not a negative	https://www.ncbi.nlm.nih.gov/bioproject/929280
CHICKEN_PLATYPUS_MS	chicken; platypus	GRCg6a; mOrnAna1 study references	PXD040182	LC-MS/MS	heart/liver; platypus fibroblast summaries	H_supportive	independent assay, SwissProt search	protein support column	SwissProt search cannot validate novel D candidate CDS; raw re-search would be new protocol	https://www.ebi.ac.uk/pride/archive/projects/PXD040182
CHICKEN_ALVE_TE	chicken	GCA_000002315.5/GRCg6a	PMC7597685	independent structural/copy study	ALVE/GGERV20 endogenous avian leukosis elements	E_structural	independent paper; exact assembly reported	candidate positive E panel	Extract exact coordinates and structural filters before use; not complete TE truth	https://pmc.ncbi.nlm.nih.gov/articles/PMC7597685/
ZEBRAFISH_ZB_TE	zebrafish	GCA_000002035.4/GRCz11	PMC7913693	independent structural/copy study	ZB/Tc1-mariner elements	E_structural	independent paper; GRCz11 reported	candidate positive E panel	20 exact full-length coordinates; source 19/20 intact statement is aggregate and does not identify a per-copy autonomous positive; construct-level activity is not endogenous-copy validation; not complete TE truth	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/
PLATYPUS_CARP_TE	platypus	older assembly; compatibility unresolved	PMC5851578	de novo TE structural study	long L2 candidates, intact ORF2 claims	E_structural candidate	independent paper but assembly mismatch	conditional only after liftover	Do not use directly on mOrnAna1.pri.v4; no current-assembly truth until liftover audit	https://pmc.ncbi.nlm.nih.gov/articles/PMC5851578/
