stage	model_key	window	species	center_te_f1	left_edge_te_f1	right_edge_te_f1	mean_edge_te_f1	edge_minus_center_te_f1	center_te_auprc	edge_left_te_auprc	edge_right_te_auprc	interpretation
edge_H0_window	dnabert2	1024	human	0.8669208185443231	0.8631722260040844	0.8553293937404246	0.8592508098722544	-0.007670008672068684	0.9418774943363319	0.9364374474106018	0.9341307620942669	negative means window edges underperform center
edge_H0_window	dnabert2	2048	human	0.8569993167477192	0.8420308872514384	0.8818024893249751	0.8619166882882068	0.004917371540487547	0.9383552339414043	0.9386894318148269	0.9545519574227208	negative means window edges underperform center
edge_H0_window	dnabert2	4096	human	0.8902011191541592	0.8822495606326889	0.8827151788652282	0.8824823697489586	-0.0077187494052006755	0.9619916267163252	0.958343348437504	0.9626788656797179	negative means window edges underperform center
edge_H0_window	dnabert2	512	human	0.7075894988066826	0.6520726595249186	0.692377495462795	0.6722250774938567	-0.03536442131282591	0.90757453407581	0.8777217130530633	0.8892019931099527	negative means window edges underperform center
edge_H0_window	dnabert2	8192	human	0.9124363739671867	0.9039528852911951	0.8967345007098911	0.9003436930005431	-0.01209268096664362	0.9723290818379264	0.9749032548529192	0.969130576130762	negative means window edges underperform center
edge_H0_window	generanno	1024	human	0.8083342325815619	0.7686892722585763	0.7666922486569455	0.767690760457761	-0.04064347212380093	0.9168708185604956	0.8937737844653052	0.8830830351982326	negative means window edges underperform center
edge_H0_window	generanno	2048	human	0.9017487051486737	0.878049725040663	0.921743820224719	0.899896772632691	-0.0018519325159827016	0.9592109241565148	0.9512503544268516	0.9720568641421203	negative means window edges underperform center
edge_H0_window	generanno	4096	human	0.9248351454954435	0.9041176347198624	0.9224922435661677	0.913304939143015	-0.011530206352428518	0.9796244759096303	0.965972895087623	0.9763720891116294	negative means window edges underperform center
edge_H0_window	generanno	512	human	0.8923635348317744	0.8506217535022823	0.8622801507537688	0.8564509521280256	-0.03591258270374886	0.9442752542379506	0.9227832846396379	0.9375148782657264	negative means window edges underperform center
edge_H0_window	generanno	8192	human	0.9397375292220561	0.9280551950900754	0.9303735540213067	0.9292143745556911	-0.010523154666364998	0.9860259918592438	0.9803665477633239	0.979107811236815	negative means window edges underperform center
edge_H0_window	ntv2_500m	1024	human	0.8789260385005067	0.8473755047106325	0.8608786610878659	0.8541270828992492	-0.024798955601257444	0.9540023778034558	0.9443669327896519	0.9360399369139439	negative means window edges underperform center
edge_H0_window	ntv2_500m	2048	human	0.914660927617709	0.9029884032114184	0.9258380608561114	0.9144132320337649	-0.0002476955839441075	0.972938283592521	0.9691271067887784	0.9785435239049312	negative means window edges underperform center
edge_H0_window	ntv2_500m	4096	human	0.9328549351028305	0.9156198296464244	0.9201826881252718	0.9179012588858482	-0.014953676216982292	0.9828271385172596	0.973954089561939	0.9780589985183865	negative means window edges underperform center
edge_H0_window	ntv2_500m	512	human	0.7227001985440106	0.6839597670725251	0.6939203354297695	0.6889400512511473	-0.03376014729286325	0.9076817934695252	0.8839768220994225	0.875416332508115	negative means window edges underperform center
edge_H0_window	ntv2_500m	8192	human	0.9416447434059557	0.9336020540570388	0.9330925211394794	0.9333472875982591	-0.008297455807696585	0.9868916787640553	0.9834220619007824	0.9802382528433247	negative means window edges underperform center
