pair_id	left_id	right_id	pair_role	distance_bp	truth_pair_status	truth_same_insertion
cal_00_left__cal_00_right	cal_00_left	cal_00_right	cal	15	known	1
cal_01_left__cal_01_right	cal_01_left	cal_01_right	cal	15	known	1
cal_02_left__cal_02_right	cal_02_left	cal_02_right	cal	15	known	1
cal_adj_a__cal_adj_b	cal_adj_a	cal_adj_b	cal	10	known	0
cal_adj_b__cal_adj_c	cal_adj_b	cal_adj_c	cal	10	known	0
ev_regular_left__ev_regular_right	ev_regular_left	ev_regular_right	eval	15	known	1
ev_chain_a__ev_chain_b	ev_chain_a	ev_chain_b	eval	15	known	0
ev_chain_b__ev_chain_c	ev_chain_b	ev_chain_c	eval	15	known	0
ev_unresolved_a__ev_unresolved_b	ev_unresolved_a	ev_unresolved_b	eval	10	unresolved	
tr_00_left__tr_00_right	tr_00_left	tr_00_right	train	15	known	1
tr_01_left__tr_01_right	tr_01_left	tr_01_right	train	15	known	1
tr_02_left__tr_02_right	tr_02_left	tr_02_right	train	15	known	1
tr_03_left__tr_03_right	tr_03_left	tr_03_right	train	15	known	1
tr_04_left__tr_04_right	tr_04_left	tr_04_right	train	15	known	1
tr_05_left__tr_05_right	tr_05_left	tr_05_right	train	15	known	1
tr_adj_a__tr_adj_b	tr_adj_a	tr_adj_b	train	10	known	0
